timestamp_us,adc,lo_status
91443928,6640,0
91453928,18960,0
91463928,6592,0
91473927,18656,0
91483928,6400,0
91493927,18272,0
91503928,6208,0
91513928,18896,0
91523927,7440,0
91533927,20320,0
91543928,7776,0
91553928,19296,0
91563927,6576,0
91573928,19104,0
91583928,6896,0
91593928,20320,0
91603927,6944,0
91613928,18704,0
91623928,6816,0
91633927,17280,0
91643928,5808,0
91653928,22864,0
91663928,8960,0
91673928,21056,0
91683928,4560,0
91693927,16656,0
91703927,6176,0
91713928,18512,0
91723928,6080,0
91733927,18080,0
91743928,6544,0
91753928,18336,0
91763928,6560,0
91773928,18704,0
91783928,6352,0
91793928,18416,0
91803928,6576,0
91813928,18848,0
91823928,6880,0
91833927,18752,0
91843928,6784,0
91853928,18592,0
91863928,6880,0
91873927,18880,0
91883928,7072,0
91893928,18880,0
91903928,7184,0
91913927,18752,0
91923927,6496,0
91933927,18336,0
91943927,6224,0
91953928,17984,0
91963927,6144,0
91973928,17808,0
91983927,6080,0
91993928,18352,0
92003928,6608,0
92013928,18400,0
92023928,6736,0
92033927,18368,0
92043928,6848,0
92053927,18752,0
92063928,6928,0
92073928,18864,0
92083927,6848,0
92093928,18288,0
92103927,6768,0
92113927,18752,0
92123928,6880,0
92133928,18656,0
92143927,6992,0
92153928,18752,0
92163927,7040,0
92173928,18688,0
92183927,6480,0
92193927,17760,0
92203928,6320,0
92213928,17488,0
92223928,6128,0
92233928,18288,0
92243928,6512,0
92253927,18576,0
92263927,6864,0
92273928,18656,0
92283927,7120,0
92293928,19216,0
92303928,7712,0
92313927,19392,0
92323928,7408,0
92333928,19184,0
92343928,7056,0
92353928,19328,0
92363928,7232,0
92373927,18960,0
92383927,7264,0
92393927,18736,0
92403928,6320,0
92413927,18208,0
92423928,10624,0
92433927,22064,0
92443928,9680,0
92453927,18384,0
92463928,5488,0
92473928,19808,0
92483928,7520,0
92493928,19920,0
92503928,7952,0
92513927,20096,0
92523928,7968,0
92533927,20048,0
92543928,7696,0
92553927,19472,0
92563928,7216,0
